Ecosystem,Survey Type,Survey Name,Entity Name,Stock,Stock Region,Assessment Year,Assessment Month,Degree of Influence
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Washington Coast: Western Strait of Juan de Fuca,Coho salmon , Washington Coast: Western Strait of Juan de Fuca,2011,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Washington Coast: Willapa Bay Hatchery,Coho salmon , Washington Coast: Willapa Bay Hatchery,2023,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Coho salmon - Washington Coast: Willapa Bay Natural,Coho salmon , Washington Coast: Willapa Bay Natural,2023,2,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Common bluestripe snapper - Main Hawaiian Islands,Common bluestripe snapper , Main Hawaiian Islands,2017,2,Primary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Common bluestripe snapper - Main Hawaiian Islands,Common bluestripe snapper , Main Hawaiian Islands,2017,2,Primary
Pacific Islands Ecosystem Complex,Recreational CPUE,Recreational CPUE,Common bluestripe snapper - Main Hawaiian Islands,Common bluestripe snapper , Main Hawaiian Islands,2017,2,Primary
California Current,Recreational CPUE,Recreational CPUE,Copper rockfish - Northern California,Copper rockfish , Northern California,2021,11,Secondary
California Current,Commercial CPUE,Commercial CPUE,Copper rockfish - Oregon,Copper rockfish , Oregon,2021,9,Secondary
California Current,Recreational CPUE,Recreational CPUE,Copper rockfish - Oregon,Copper rockfish , Oregon,2021,9,Secondary
California Current,Recreational CPUE,Recreational CPUE,Copper rockfish - Pacific Coast,Copper rockfish , Pacific Coast,2013,11,Primary
California Current,FINSS Survey,West Coast Rockfish Hook and Line,Copper rockfish - Southern California,Copper rockfish , Southern California,2021,11,Primary
California Current,Recreational CPUE,Recreational CPUE,Copper rockfish - Washington,Copper rockfish , Washington,2021,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Cowcod - Northern Pacific Coast,Cowcod , Northern Pacific Coast,2010,9,Primary
California Current,FINSS Survey,CalCOFI_Fall,Cowcod - Southern California,Cowcod , Southern California,2019,9,Primary
California Current,FINSS Survey,CalCOFI_Spring,Cowcod - Southern California,Cowcod , Southern California,2019,9,Primary
California Current,FINSS Survey,CalCOFI_Winter,Cowcod - Southern California,Cowcod , Southern California,2019,9,Primary
California Current,FINSS Survey,Cowcod,Cowcod - Southern California,Cowcod , Southern California,2019,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Cowcod - Southern California,Cowcod , Southern California,2019,9,Primary
California Current,FINSS Survey,West Coast Rockfish Hook and Line,Cowcod - Southern California,Cowcod , Southern California,2019,9,Primary
California Current,Other Survey,Combined LA/OC Sanitation District Trawl Survey Index,Cowcod - Southern California,Cowcod , Southern California,2019,9,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Crimson jobfish - Main Hawaiian Islands,Crimson jobfish , Main Hawaiian Islands,2018,1,Primary
Pacific Islands Ecosystem Complex,FINSS Survey,Hawaiian Archipelago Insular Bottomfish Survey (Cooperative Research),Crimson jobfish - Main Hawaiian Islands,Crimson jobfish , Main Hawaiian Islands,2018,1,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Darkblotched rockfish - Pacific Coast,Darkblotched rockfish , Pacific Coast,2021,9,Primary
California Current,Other Survey,"AFSC - Slope Bottom Trawl Survey for Pacific coast groundfish (1996-2001). This survey has been discontinued. Survey data from 1997, 1999-2001 were used, as these years were consistent in survey spatial coverage",Darkblotched rockfish - Pacific Coast,Darkblotched rockfish , Pacific Coast,2021,9,Primary
California Current,Other Survey,"NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued. The survey was separated into two indices (early 1980-1992, and late-1995-2004) due to a shift in depth and timing of the survey",Darkblotched rockfish - Pacific Coast,Darkblotched rockfish , Pacific Coast,2021,9,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Dover sole - Gulf of Alaska,Dover sole , Gulf of Alaska,2021,12,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Dover sole - Pacific Coast,Dover sole , Pacific Coast,2021,6,Primary
California Current,Other Survey,AFSC - Slope Bottom Trawl Survey for Pacific coast groundfish (1996-2001). This survey has been discontinued.,Dover sole - Pacific Coast,Dover sole , Pacific Coast,2021,6,Primary
California Current,Other Survey,"NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued. This survey has been discontinued. The survey was separated into two indices (early 1980-1992, and late-1995-2004) due to a shift in timing of the survey.",Dover sole - Pacific Coast,Dover sole , Pacific Coast,2021,6,Primary
California Current,Other Survey,"NWFSC - Slope Bottom Trawl Survey for Pacific coast groundfish (1999-2002). This survey has been expanded to the ""NWFSC Shelf/Slope Bottom Trawl Survey for Pacific coast groundfish (2003-current) which is assumed to be Groundfish Bottom Trawl Survey in this drop-down list.",Dover sole - Pacific Coast,Dover sole , Pacific Coast,2021,6,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Dusky shark - Atlantic and Gulf of Mexico,Dusky shark , Atlantic and Gulf of Mexico,2016,9,Primary
Atlantic Highly Migratory,FINSS Survey,Coastal Shark Bottom Longline,Dusky shark - Atlantic and Gulf of Mexico,Dusky shark , Atlantic and Gulf of Mexico,2016,9,Primary
Atlantic Highly Migratory,Other Survey,"Virginia Institute of Marine Sciences Long Line Survey, a fisheries-independent survey 1972 - 2016",Dusky shark - Atlantic and Gulf of Mexico,Dusky shark , Atlantic and Gulf of Mexico,2016,9,Primary
Atlantic Highly Migratory,Recreational CPUE,Recreational CPUE,Dusky shark - Atlantic and Gulf of Mexico,Dusky shark , Atlantic and Gulf of Mexico,2016,9,Primary
Alaska Ecosystem Complex,FINSS Survey,Aleutian Island Groundfish Bottom Trawl,Eastern Bering Sea Blackspotted and Rougheye Rockfish Complex | Asmt,Eastern Bering Sea Blackspotted and Rougheye Rockfish Complex | Asmt, Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Groundfish Bottom Trawl,Eastern Bering Sea Blackspotted and Rougheye Rockfish Complex | Asmt,Eastern Bering Sea Blackspotted and Rougheye Rockfish Complex | Asmt, Bering Sea / Aleutian Islands,2022,12,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,English sole - Pacific Coast,English sole , Pacific Coast,2013,9,Primary
California Current,Other Survey,"NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued. The survey was separated into two indices (early 1980-1992, and late-1995-2004) due to a shift in timing of the survey.",English sole - Pacific Coast,English sole , Pacific Coast,2013,9,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Eyestripe surgeonfish - Main Hawaiian Islands,Eyestripe surgeonfish , Main Hawaiian Islands,2017,2,Primary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Eyestripe surgeonfish - Main Hawaiian Islands,Eyestripe surgeonfish , Main Hawaiian Islands,2017,2,Primary
Pacific Islands Ecosystem Complex,Recreational CPUE,Recreational CPUE,Eyestripe surgeonfish - Main Hawaiian Islands,Eyestripe surgeonfish , Main Hawaiian Islands,2017,2,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Filament-f inned parrotfish - Guam | Asmt,Filament-f inned parrotfish , Guam | Asmt,2019,5,Primary
Atlantic Highly Migratory,Other Survey,"Gillnet Observer (SEDAR 13-DW-09: Carlson et al.: The Directed Shark Drift Gillnet Fishery: Characterization of the Small Coastal Shark Catch, Average Size and Standardization of Catch Rates from Observer Data)",Finetooth shark - Atlantic and Gulf of Mexico,Finetooth shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,PC Gillnet (SEDAR 13-DW-06: Carlson and Bethea: Standardized catch rates of small coastal sharks from a fishery-independent gillnet survey in northwest Florida),Finetooth shark - Atlantic and Gulf of Mexico,Finetooth shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,SC Coastspan GN (SEDAR 13-DW-30: McCandless et al.: Standardized catch rates of small coastal sharks from the South Carolina COASTSPAN and SCDNR red drum surveys),Finetooth shark - Atlantic and Gulf of Mexico,Finetooth shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"Gillnet Logs (SEDAR 13-DW-26: McCarthy: Standardized catch rates for small coastal sharks from the United States Gulf of Mexico and south Atlantic gillnet fishery, 1998-2005)",Finetooth shark - Atlantic and Gulf of Mexico,Finetooth shark , Atlantic and Gulf of Mexico,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,MS Gillnet (SEDAR 13-DW-21: Hoffmayer and Ingram: Catch Rates and Size Composition of Small Coastal Sharks Collected During a Gillnet Survey of Mississippi Coastal Waters During 2001?2006),Finetooth shark - Atlantic and Gulf of Mexico,Finetooth shark , Atlantic and Gulf of Mexico,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,PC LL (SEDAR 13-DW-05: Carlson: Standardized catch rates of small coastal sharks from a fisheryindependent longline survey in northwest Florida),Finetooth shark - Atlantic and Gulf of Mexico,Finetooth shark , Atlantic and Gulf of Mexico,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,"Texas (SEDAR 13-DW-18: Fisher: Fishery-Independent Catch of Small Coastal Sharks in Texas Bays, 1975-2006)",Finetooth shark - Atlantic and Gulf of Mexico,Finetooth shark , Atlantic and Gulf of Mexico,2007,11,Secondary
California Current,Commercial CPUE,Commercial CPUE,Flag rockfish - Pacific Coast,Flag rockfish , Pacific Coast,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Flag rockfish - Pacific Coast,Flag rockfish , Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Flag rockfish - Pacific Coast,Flag rockfish , Pacific Coast,2010,9,Secondary
Alaska Ecosystem Complex,FINSS Survey,Aleutian Island Groundfish Bottom Trawl,Flathead sole - Bering Sea / Aleutian Islands,Flathead sole , Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Groundfish Bottom Trawl,Flathead sole - Bering Sea / Aleutian Islands,Flathead sole , Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Flathead sole - Gulf of Alaska,Flathead sole , Gulf of Alaska,2022,12,Primary
Gulf of Mexico,Commercial CPUE,Commercial CPUE,Gag - Gulf of Mexico,Gag , Gulf of Mexico,2021,8,Primary
Gulf of Mexico,FINSS Survey,Panama City Laboratory Reef Fish Trap/Video,Gag - Gulf of Mexico,Gag , Gulf of Mexico,2021,8,Primary
Gulf of Mexico,FINSS Survey,SEAMAP Reef Fish Camera/Trap,Gag - Gulf of Mexico,Gag , Gulf of Mexico,2021,8,Primary
Gulf of Mexico,Other Survey,"Age-0 Gag Grouper survey developed for the Gulf of Mexico using three available databases, the Florida State University Estuarine Gag Survey, the NMFS PC Lab St. Andrew Bay Survey, and the State of Florida FWC Estuarine (FIM) Survey.",Gag - Gulf of Mexico,Gag , Gulf of Mexico,2021,8,Primary
Gulf of Mexico,Recreational CPUE,Recreational CPUE,Gag - Gulf of Mexico,Gag , Gulf of Mexico,2021,8,Primary
Southeast Shelf,FINSS Survey,Southeast Fishery-Independent Survey (SEFIS),Gag - Southern Atlantic Coast,Gag , Southern Atlantic Coast,2021,5,Primary
